start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
F6,B2,1,565,14,12.12634,14,B2,,False,1,False,True,True,0.9071162444727756,11.0,A,"['F6', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'B2']",,9,0.2222222222222222,control
D4,F1,1,565,23,8.828735,15,A6,,False,0,False,True,True,0.679599059208369,6.0,A,"['D4', 'C4', 'B4', 'A4', 'A5', 'A6']",,6,1.026188973063973,control
E6,D1,1,565,20,6.12146,16,D1,,False,1,False,True,True,1.1435180496156143,7.0,A,"['E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1']",,7,0.0,control
C6,F1,1,565,17,5.575562,17,A6,,False,0,False,True,True,0.8967705856378245,5.0,A,"['C6', 'C7', 'B7', 'A7', 'A6']",,9,1.026188973063973,control
D1,D4,2,565,22,13.32739,18,D4,,False,1,False,True,True,0.9004013539035025,12.0,A,"['D1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'F6', 'E6', 'E5', 'E4', 'D4']",,6,1.0,control
C7,D1,2,565,21,8.872437,19,D1,,False,1,False,True,True,0.9016688425062924,8.0,A,"['C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1']",,8,0.0,control
B2,G5,1,565,15,8.828369,20,G5,,False,1,False,True,True,1.2459832614608657,11.0,A,"['B2', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2', 'G3', 'G4', 'G5']",,11,0.0,control
C6,A1,1,565,18,8.307129,21,A1,,False,1,False,True,True,0.9630282616292584,8.0,A,"['C6', 'C5', 'C4', 'B4', 'A4', 'A3', 'A2', 'A1']",,8,0.0,control
G2,C6,1,565,19,7.596191,22,C6,,False,1,False,True,True,1.1848043315393202,9.0,A,"['G2', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6']",,9,0.0,control
G5,A6,1,565,25,8.574463,23,A6,,False,1,False,True,True,1.166253793386245,10.0,A,"['G5', 'G6', 'F6', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6']",,10,0.0,control
F1,C7,1,565,16,9.706299,24,C7,,False,1,False,True,True,1.030258804102367,10.0,A,"['F1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']",,10,0.0,control
A6,E6,2,565,24,6.252197,25,E6,,False,1,False,True,True,1.1196064359456364,7.0,A,"['A6', 'A7', 'B7', 'C7', 'D7', 'E7', 'E6']",,7,0.0,control
A6,E6,2,566,24,6.741089,2,E6,,False,1,False,False,True,1.0384078892891044,7.0,A,"['A6', 'A7', 'B7', 'C7', 'D7', 'E7', 'E6']",,7,0.0,control
C6,F1,2,566,17,4.475952,3,A6,,False,0,False,False,True,0.8936646326859626,4.0,A,"['C6', 'C7', 'B7', 'A7']",,9,1.026188973063973,control
C7,D1,2,566,21,8.696045,4,D1,,False,1,False,False,True,0.9199584408774334,8.0,A,"['C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1']",,8,0.0,control
D1,D4,2,566,22,6.176025,5,D4,,False,1,False,False,True,0.9714986581174784,6.0,A,"['D1', 'C1', 'C2', 'C3', 'C4', 'D4']",,6,0.0,control
C6,A1,3,566,18,10.91699,6,A1,,False,1,False,False,True,0.9160034038686488,10.0,A,"['C6', 'C5', 'C4', 'D4', 'C4', 'C3', 'C2', 'B2', 'A2', 'A1']",,8,0.25,control
D4,F1,2,566,23,6.44043,7,A6,,False,0,False,False,True,0.7763456787823173,5.0,A,"['D4', 'C4', 'B4', 'A4', 'A5']",,6,1.026188973063973,control
B2,G5,2,566,15,10.29492,8,G5,,False,1,False,False,True,1.068488147552385,11.0,A,"['B2', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2', 'G3', 'G4', 'G5']",,11,0.0,control
